SEGMENT_CLEAN,COUNTRY_CLEAN,N_ROWS,MEAN_EUR,SUM_EUR,MIN_EUR,MAX_EUR
ONLINE,DE,271,73.45860000519058,19907.280601406645,0.36036036036036034,212.8
ONLINE,DK,199,67.66894415135602,13466.119886119846,0.61,314.16
ONLINE,NL,184,86.60774110686798,15935.824363663709,3.0847396116857193,235.08
ONLINE,NO,240,74.1329665259784,17791.911966234817,0.030965587807636384,215.55
ONLINE,SE,131,74.120745299776,9709.817634270657,2.084921066956995,249.91
RETAIL,DE,451,76.56875328066103,34532.50772957812,0.2869632847909459,231.45
RETAIL,DK,780,76.44646481632542,59628.24255673383,0.22483709408153374,236.77
RETAIL,NL,636,73.40785363871197,46687.394914220815,0.44,251.09157405720532
RETAIL,NO,596,75.30944561503138,44884.429586558705,1.0986052022187518,229.44
RETAIL,SE,433,74.48453654594331,32251.804324393455,0.15,252.25
WHOLESALE,DE,181,76.15677611246241,13784.376476355697,0.8083187238199752,202.87
WHOLESALE,DK,179,74.34163216215053,13307.152157024944,1.54,205.07
WHOLESALE,NL,111,69.75554850950157,7742.865884554674,0.688622754491018,213.6
WHOLESALE,NO,213,77.85000941497685,16582.05200539007,0.41652670473631176,270.64
WHOLESALE,SE,141,77.56183927647628,10936.219337983155,0.979858464888405,230.5
