TX_ID,CUSTOMER_ID,TX_DATE,PRODUCT_ID,QUANTITY,AMOUNT_LOCAL,CURRENCY
1,1114,2023-07-04,2018,4,118.38,USD
2,1020,2023-08-27,2014,9,185.81,EUR
3,1331,2023-05-27,2022,8,25.43,DKK
4,1244,2023-01-16,2035,4,210.95,EUR
5,1362,2023-07-30,2033,2,15.57,EUR
6,1094,2023-01-08,2043,9,109.76,EUR
7,1369,2023-04-11,2008,2,200.11,SEK
8,1422,2023-11-03,2011,1,75.93,USD
9,1039,2023-06-19,2005,8,62.93,EUR
10,1448,2023-08-03,2023,3,166.0,EUR
11,1210,2023-12-19,2044,6,68.66,EUR
12,1047,2023-03-24,2035,3,107.72,EUR
13,1260,2023-11-05,2008,3,136.73,DKK
14,1246,2023-10-02,2027,9,85.49,EUR
15,1476,2023-05-19,2027,1,142.64,USD
16,1291,2023-04-07,2044,4,110.01,USD
17,1110,2023-04-10,2021,4,62.2,EUR
18,1071,2023-06-03,2047,3,56.41,DKK
19,1405,2023-08-22,2021,7,43.18,EUR
20,1019,2023-06-14,2000,7,220.93,DKK
21,1226,2023-02-23,2047,9,113.11,EUR
22,1186,2023-12-15,2033,3,78.62,DKK
23,1105,2023-05-22,2017,4,120.44,USD
24,1318,2023-11-22,2014,4,19.71,USD
25,1032,2023-03-11,2009,4,-20.5,USD
26,1043,2023-04-12,2025,8,112.06,DKK
27,1200,2023-10-11,2002,2,82.9,SEK
28,1216,2023-04-12,2023,3,130.42,USD
29,1248,2023-11-23,2032,8,1.54,USD
30,1014,2023-06-04,2006,8,111.18,EUR
31,1340,2023-06-16,2005,9,58.47,EUR
32,1295,2023-01-02,2002,2,118.8,EUR
33,1483,2023-06-04,2002,9,97.61,SEK
34,1040,2023-04-23,2000,9,35.29,SEK
35,1117,2023-07-19,2019,5,11.23,USD
36,1376,2023-12-14,2019,8,60.91,EUR
37,1385,2023-01-06,2044,9,85.12,EUR
38,1352,2023-11-02,2038,7,138.53,EUR
39,1394,2023-05-26,2001,7,167.78,EUR
40,1187,2023-07-15,2037,2,145.52,DKK
41,1482,2023-06-21,2029,5,110.61,EUR
42,1240,2023-06-27,2042,7,201.61,DKK
43,1439,2023-10-29,2048,6,110.46,EUR
44,1390,2023-12-11,2026,6,179.09,EUR
45,1259,2023-12-28,2016,9,153.71,DKK
46,1223,2023-08-05,2033,9,66.36,EUR
47,1041,2023-09-13,2049,2,51.09,EUR
48,1159,2023-12-11,2008,2,44.84,EUR
49,1112,2023-12-07,2016,8,49.85,EUR
50,1287,2023-12-31,2022,4,46.87,DKK
51,1100,2023-01-18,2011,8,77.94,DKK
52,1095,2023-01-13,2031,1,81.11,USD
53,1447,2023-07-31,2043,7,89.0,EUR
54,1064,2023-02-13,2027,6,108.01,SEK
55,1000,2023-11-12,2005,9,158.15,USD
56,1280,2023-10-05,2007,5,9.25,EUR
57,1065,2023-02-16,2034,9,139.77,SEK
58,1217,2023-02-16,2043,9,137.7,SEK
59,1487,2023-02-08,2034,7,92.32,EUR
60,1007,2023-05-05,2024,2,74.37,EUR
61,1104,2023-11-05,2047,8,56.49,DKK
62,1109,2023-04-20,2045,4,157.82,EUR
63,1245,2023-09-15,2023,4,13.84,DKK
64,1263,2023-07-21,2031,6,150.2,SEK
65,1074,2023-08-09,2040,5,46.67,DKK
66,1444,2023-01-19,2025,5,67.39,EUR
67,1146,2023-09-04,2008,5,135.21,SEK
68,1421,2023-06-14,2023,4,20.87,EUR
69,1497,2023-02-20,2041,8,73.28,EUR
70,1155,2023-07-22,2019,1,67.46,DKK
71,1183,2023-08-11,2042,2,106.68,EUR
72,1097,2023-02-13,2041,5,115.32,USD
73,1277,2023-07-02,2039,5,6.56,USD
74,1310,2023-05-05,2031,3,185.07,SEK
75,1274,2023-10-02,2011,7,34.4,EUR
76,1470,2023-07-04,2039,1,22.67,SEK
77,1378,2023-01-13,2041,8,54.59,EUR
78,1019,2023-04-21,2032,5,127.35,DKK
79,1230,2023-07-25,2004,4,55.63,EUR
80,1114,2023-06-02,2009,2,187.6,EUR
81,1374,2023-04-08,2047,7,148.61,EUR
82,1122,2023-06-01,2003,1,187.91,EUR
83,1035,2023-04-30,2024,4,125.06,USD
84,1474,2023-02-04,2005,8,-5.41,EUR
85,1188,2023-09-12,2018,4,91.66,DKK
86,1385,2023-08-03,2023,6,161.38,DKK
87,1257,2023-07-13,2019,2,93.19,DKK
88,1391,2023-01-28,2031,7,65.47,USD
89,1262,2023-09-02,2049,8,104.56,EUR
90,1231,2023-07-31,2032,5,62.68,DKK
91,1471,2023-10-22,2009,1,104.87,USD
92,1278,2023-01-31,2011,7,77.01,EUR
93,1401,2023-04-29,2000,4,76.28,DKK
94,1005,2023-07-16,2006,6,177.12,DKK
95,1230,2023-02-18,2029,2,79.96,EUR
96,1249,2023-11-07,2035,8,59.09,EUR
97,1178,2023-03-31,2034,4,103.94,DKK
98,1445,2023-04-16,2003,1,88.04,USD
99,1074,2023-05-22,2016,3,81.94,EUR
100,1002,2023-01-31,2019,8,125.11,USD
101,1418,2023-03-05,2030,3,34.99,USD
102,1013,2023-04-27,2016,1,180.66,EUR
103,1237,2023-03-17,2026,8,59.09,USD
104,1153,2023-06-04,2041,4,74.05,SEK
105,1332,2023-08-22,2004,5,106.06,DKK
106,1365,2023-08-12,2004,7,103.97,EUR
107,1428,2023-11-14,2011,8,131.89,EUR
108,1471,2023-02-25,2025,3,149.1,EUR
109,1105,2023-08-22,2031,8,153.68,DKK
110,1247,2023-01-02,2015,2,123.41,EUR
111,1403,2023-01-02,2030,5,255.57,SEK
112,1117,2023-11-04,2027,9,57.87,EUR
113,1046,2023-05-18,2009,9,149.98,EUR
114,1376,2023-06-16,2014,5,113.53,EUR
115,1161,2023-11-15,2009,5,74.63,EUR
116,1158,2023-07-29,2011,4,123.56,EUR
117,1012,2023-09-10,2045,8,93.81,EUR
118,1090,2023-10-20,2035,7,94.17,USD
119,1181,2023-08-28,2013,1,24.54,EUR
120,1005,2023-10-06,2041,8,57.06,EUR
121,1005,2023-02-16,2001,9,41.29,USD
122,1202,2023-11-11,2005,5,100.75,EUR
123,1312,2023-06-01,2004,8,41.93,EUR
124,1126,2023-04-28,2044,2,121.92,EUR
125,1237,2023-03-02,2036,3,108.78,SEK
126,1025,2023-03-12,2024,3,92.04,EUR
127,1117,2023-02-26,2040,7,0.0,USD
128,1475,2023-01-05,2001,4,112.93,USD
129,1234,2023-04-12,2034,2,94.37,USD
130,1154,2023-05-25,2014,6,168.2,DKK
131,1043,2023-12-12,2041,6,91.02,DKK
132,1469,2023-08-10,2004,7,-14.03,EUR
133,1483,2023-10-05,2018,1,98.09,EUR
134,1034,2023-07-26,2032,9,72.15,EUR
135,1373,2023-10-20,2008,3,62.91,EUR
136,1225,2023-11-17,2027,9,89.64,EUR
137,1480,2023-11-24,2042,9,194.09,EUR
138,1047,2023-10-30,2023,5,65.32,USD
139,1096,2023-09-11,2000,6,123.67,USD
140,1256,2023-07-01,2044,3,58.21,EUR
141,1095,2023-03-04,2049,7,132.08,EUR
142,1230,2023-02-14,2027,6,55.74,EUR
143,1193,2023-12-09,2037,6,11.77,EUR
144,1204,2023-07-02,2036,1,149.86,EUR
145,1184,2023-10-23,2019,3,26.52,USD
146,1088,2023-12-02,2011,4,108.81,DKK
147,1322,2023-01-28,2031,3,138.1,SEK
148,1371,2023-11-18,2012,2,92.58,USD
149,1445,2023-04-14,2027,4,107.06,EUR
150,1405,2023-09-04,2007,1,87.3,EUR
151,1254,2023-06-17,2008,4,109.81,DKK
152,1457,2023-08-29,2048,7,197.23,EUR
153,1353,2023-06-28,2049,3,87.27,USD
154,1014,2023-10-30,2046,4,105.53,EUR
155,1394,2023-12-11,2040,9,77.64,EUR
156,1167,2023-09-08,2020,5,50.35,USD
157,1311,2023-05-31,2038,2,74.15,DKK
158,1300,2023-08-16,2037,3,133.38,DKK
159,1018,2023-03-02,2009,4,92.44,DKK
160,1422,2023-05-27,2039,6,166.29,USD
161,1105,2023-09-29,2011,9,9.56,USD
162,1104,2023-05-26,2020,4,135.61,EUR
163,1243,2023-12-30,2024,1,95.27,EUR
164,1232,2023-06-27,2023,7,-5.11,USD
165,1154,2023-11-18,2024,9,83.31,DKK
166,1194,2023-11-18,2047,2,120.22,EUR
167,1235,2023-03-27,2001,1,133.48,DKK
168,1363,2023-08-23,2032,1,132.05,EUR
169,1462,2023-12-13,2017,1,0.0,SEK
170,1324,2023-10-29,2027,9,112.43,USD
171,1090,2023-06-27,2046,6,135.68,USD
172,1335,2023-07-03,2002,4,59.69,DKK
173,1253,2023-10-18,2021,2,80.52,USD
174,1295,2023-07-15,2009,8,185.12,DKK
175,1222,2023-07-17,2028,6,130.17,EUR
176,1121,2023-09-13,2023,2,44.33,EUR
177,1406,2023-12-27,2006,1,104.21,SEK
178,1048,2023-09-11,2011,6,170.22,EUR
179,1437,2023-07-03,2008,7,154.82,EUR
180,1311,2023-03-22,2034,3,79.52,USD
181,1494,2023-04-16,2038,9,91.45,SEK
182,1357,2023-12-05,2036,1,182.29,EUR
183,1380,2023-11-03,2006,2,181.02,DKK
184,1071,2023-03-24,2032,6,89.3,USD
185,1038,2023-05-11,2008,9,44.87,USD
186,1191,2023-08-29,2030,3,114.5,EUR
187,1137,2023-08-21,2032,2,119.35,USD
188,1248,2023-05-13,2018,1,96.83,DKK
189,1173,2023-09-15,2013,6,94.36,EUR
190,1377,2023-04-13,2005,6,231.02,EUR
191,1279,2023-11-24,2034,8,111.01,EUR
192,1333,2023-12-29,2034,2,105.42,SEK
193,1046,2023-04-09,2045,1,146.67,SEK
194,1471,2023-09-06,2034,5,137.38,EUR
195,1375,2023-07-22,2034,2,154.87,EUR
196,1211,2023-04-14,2011,5,130.94,EUR
197,1161,2023-08-19,2007,5,-33.1,EUR
198,1054,2023-09-23,2044,6,44.95,EUR
199,1418,2023-07-05,2036,7,103.43,DKK
200,1256,2023-10-02,2046,6,105.06,EUR
201,1365,2023-12-13,2039,5,61.75,EUR
