instmt_id,isin,issuer_id,asset_cls_cd,maturity_dt,cpn_rt,ext_rating_cd,duration,ref_load_dt
INST-0001,XS9573276057,ISS-0039,CVRDBND,20330928,8.2686,BBB,12.9813,20241201
INST-0002,XS8047877267,ISS-0008,CORP,20340228,3.9781,NR,7.079,20241201
INST-0003,XS7980611182,ISS-0012,ABS,20411128,5.3718,SUB_IG,2.7162,20241201
INST-0004,XS4944899549,ISS-0034,SVRN,20351028,4.4088,SUB_IG,2.1221,20241201
INST-0005,XS1248786714,ISS-0016,ABS,20230630,7.5241,A,14.2308,20241201
INST-0006,XS4504793184,ISS-0032,CORP,20290928,1.5271,NR,7.3916,20241201
INST-0007,XS6633778586,ISS-0034,SVRN,20451128,3.4874,A,13.5444,20241201
INST-0008,XS1965067727,ISS-0016,CVRDBND,20250628,5.2065,AAA,3.8367,20241201
INST-0009,XS1252860896,ISS-0005,SVRN,20260228,7.3771,AAA,1.5274,20241201
INST-0010,XS3030106617,ISS-0032,SVRN,20380828,2.0233,A,1.9055,20241201
INST-0011,XS7060638140,ISS-0028,CVRDBND,20261228,5.8869,A,14.7704,20241201
INST-0012,XS8422620843,ISS-0026,CORP,20320228,2.0327,AAA,8.2761,20241201
INST-0013,XS6491309593,ISS-0012,SVRN,20270428,4.045,BBB,12.9896,20241201
INST-0014,XS4590711152,ISS-0035,CORP,20320228,1.8305,AAA,7.5418,20241201
INST-0015,XS6002078344,ISS-0004,SVRN,20370128,2.6216,BBB,11.869,20241201
INST-0016,XS3090237817,ISS-0028,CVRDBND,20340428,2.2416,A,1.348,20241201
INST-0017,XS1245522987,ISS-0021,CORP,20401028,4.5228,NR,12.8644,20241201
INST-0018,XS1798112150,ISS-0033,SVRN,20271028,5.9017,AAA,3.9105,20241201
INST-0019,XS9760623742,ISS-0016,CORP,20380228,5.759,SUB_IG,8.6958,20241201
INST-0020,XS2349409434,ISS-0014,ABS,20370528,1.547,A,9.8598,20241201
INST-0021,XS5334976883,ISS-0005,CVRDBND,20431028,8.4688,A,1.5623,20241201
INST-0022,XS6344160868,ISS-0017,SVRN,20300528,4.0055,SUB_IG,8.3767,20241201
INST-0023,XS9623534576,ISS-0034,ABS,20340928,7.954,SUB_IG,2.002,20241201
