trade_id,pos_dt,book_cd,desk_cd,instmt_id,qty_nom,dirty_px,mkt_val_lcy,ccy_cd,load_dttm
TRD-00001,20241130,CRDT-EUR-02,DESK-IG,INST-0016,28535497.27,105.045654,29975299.73,GBP,31DEC2024:22:01:01
TRD-00002,20241130,CRDT-GBP-01,DESK-EM,INST-0002,42562546.53,90.455196,38500034.89,EUR,31DEC2024:22:02:02
TRD-00003,20241130,CRDT-USD-01,DESK-HY,INST-0023,17082908.27,111.409599,19031999.6,EUR,31DEC2024:22:03:03
TRD-00004,20241130,CRDT-GBP-01,DESK-EM,INST-0036,25879699.86,90.731693,23481089.83,USD,31DEC2024:22:04:04
TRD-00005,20241130,CRDT-USD-01,DESK-HY,INST-0047,24480034.56,107.74494,26375998.55,GBP,31DEC2024:22:05:05
TRD-00006,20241130,CRDT-EUR-02,DESK-IG,INST-0042,22463910.02,85.517298,19210528.87,GBP,31DEC2024:22:06:06
TRD-00007,20241130,CRDT-GBP-01,DESK-EM,INST-0015,34620179.05,94.186181,32607424.5,EUR,31DEC2024:22:07:07
TRD-00008,20241130,CRDT-GBP-01,DESK-EM,INST-0031,26593004.36,97.765114,25998681.03,GBP,31DEC2024:22:08:08
TRD-00009,20241130,CRDT-GBP-01,DESK-EM,INST-0023,22741888.62,94.19869,21422561.16,GBP,31DEC2024:22:09:09
TRD-00010,20241130,CRDT-USD-01,DESK-HY,INST-0008,15845842.41,107.286432,17000438.94,USD,31DEC2024:22:10:10
TRD-00011,20241130,CRDT-USD-01,DESK-HY,INST-0013,36956372.21,93.294989,34478443.39,USD,31DEC2024:22:11:11
TRD-00012,20241130,CRDT-GBP-01,DESK-EM,INST-0007,14882698.52,95.826432,14261558.98,USD,31DEC2024:22:12:12
TRD-00013,20241130,CRDT-GBP-01,DESK-EM,INST-0001,26753340.95,93.22934,24941963.2,GBP,31DEC2024:22:13:13
TRD-00014,20241130,CRDT-EUR-01,DESK-IG,INST-0036,34901127.91,88.788385,30988147.82,USD,31DEC2024:22:14:14
