issuer_id,cpty_nm,country_cd,sector_cd,int_rating_cd,watchlist_flg
ISS-0001,Counterparty ISS-0001,DE,FINAN,5,Y
ISS-0002,Counterparty ISS-0002,US,CORP,3,Y
ISS-0003,Counterparty ISS-0003,CH,FINAN,9,Y
ISS-0004,Counterparty ISS-0004,SE,FINAN,7,N
ISS-0005,Counterparty ISS-0005,DE,FINAN,2,N
ISS-0006,Counterparty ISS-0006,US,CORP,9,N
ISS-0007,Counterparty ISS-0007,AU,FINAN,4,N
ISS-0008,Counterparty ISS-0008,US,SUPRA,8,N
ISS-0009,Counterparty ISS-0009,DE,SOVGN,3,N
ISS-0010,Counterparty ISS-0010,ES,SUPRA,5,N
ISS-0011,Counterparty ISS-0011,US,CORP,6,N
ISS-0012,Counterparty ISS-0012,FR,FINAN,7,N
ISS-0013,Counterparty ISS-0013,ES,FINAN,6,N
ISS-0014,Counterparty ISS-0014,DE,SOVGN,8,N
ISS-0015,Counterparty ISS-0015,NL,FINAN,2,N
ISS-0016,Counterparty ISS-0016,CH,SOVGN,10,N
ISS-0017,Counterparty ISS-0017,SE,SOVGN,4,N
ISS-0018,Counterparty ISS-0018,DE,FINAN,4,N
ISS-0019,Counterparty ISS-0019,FR,SOVGN,4,N
ISS-0020,Counterparty ISS-0020,NL,FINAN,5,N
ISS-0021,Counterparty ISS-0021,CH,SUPRA,6,N
ISS-0022,Counterparty ISS-0022,ES,CORP,6,N
ISS-0023,Counterparty ISS-0023,CH,CORP,5,N
ISS-0024,Counterparty ISS-0024,SE,FINAN,3,N
ISS-0025,Counterparty ISS-0025,GB,CORP,8,N
ISS-0026,Counterparty ISS-0026,IT,SUPRA,9,N
ISS-0027,Counterparty ISS-0027,CH,CORP,6,N
ISS-0028,Counterparty ISS-0028,US,FINAN,1,N
ISS-0029,Counterparty ISS-0029,NL,SOVGN,5,N
ISS-0030,Counterparty ISS-0030,US,FINAN,10,N
ISS-0031,Counterparty ISS-0031,US,SOVGN,8,N
ISS-0032,Counterparty ISS-0032,CH,SUPRA,8,N
ISS-0033,Counterparty ISS-0033,IT,CORP,3,N
ISS-0034,Counterparty ISS-0034,CA,CORP,9,N
ISS-0035,Counterparty ISS-0035,CA,SOVGN,10,N
ISS-0036,Counterparty ISS-0036,SE,SUPRA,7,N
ISS-0037,Counterparty ISS-0037,US,SOVGN,3,N
ISS-0038,Counterparty ISS-0038,FR,SUPRA,1,N
ISS-0039,Counterparty ISS-0039,GB,FINAN,3,N
ISS-0040,Counterparty ISS-0040,SE,SUPRA,2,N
