desk_cd,asset_cls_cd,rating_band,tot_qty_nom,tot_mkt_val_eur,tot_dv01,trade_count
DESK-EM,ABS,IG_PRIME,56634770.46,52506684.33,483730.043416,2
DESK-EM,ABS,IG_STANDARD,65046992.09,65614818.36,4675726.568704,3
DESK-EM,ABS,NON_IG,49110131.04,59820138.41,1062088.488618,2
DESK-EM,ABS,UNRATED,76572844.55,73352526.54,3050226.260698,3
DESK-EM,CORP,IG_PRIME,22290323.4,20525682.98,1548005.95874,1
DESK-EM,CORP,IG_STANDARD,28232125.11,27719740.1,2360735.703835,2
DESK-EM,CORP,UNRATED,58900114.16,75192307.98,7548883.687483,3
DESK-EM,CVRDBND,IG_PRIME,91407413.45,90435134.85,3469724.818936,2
DESK-EM,CVRDBND,NON_IG,98107021.69,105083351.41,12185633.240527,4
DESK-EM,CVRDBND,UNRATED,81928267.68,89511094.04,2875216.055378,2
DESK-EM,SVRN,IG_PRIME,88556631.7,89861788.88,5060251.744748,3
DESK-EM,SVRN,IG_STANDARD,166636625.01,168314868.73,12410517.700507,10
DESK-EM,SVRN,NON_IG,38352636.5,43350512.36,864541.70797,3
DESK-EM,SVRN,UNRATED,123687209.56,122241024.02,7364644.113182,5
DESK-HY,ABS,IG_PRIME,3696567.28,4097753.18,36887.974093,1
DESK-HY,ABS,IG_STANDARD,313739643.57,317633270.49,33528383.674524,11
DESK-HY,ABS,UNRATED,34335437.86,14889951.51,417644.05022,2
DESK-HY,CORP,IG_STANDARD,77516483.38,72456387.44,4790152.698126,2
DESK-HY,CORP,NON_IG,29364607.63,27514574.11,4142498.575089,1
DESK-HY,CORP,UNRATED,48372465.4,53117545.13,5840387.585992,1
DESK-HY,CVRDBND,IG_STANDARD,72968962.02,76409714.76,3092255.718209,6
DESK-HY,CVRDBND,NON_IG,101795376.07,114555052.14,13836953.231308,3
DESK-HY,CVRDBND,UNRATED,887476.07,825006.85,29267.943057,1
DESK-HY,SVRN,IG_PRIME,67778252.42,64111924.78,2625990.95605,3
DESK-HY,SVRN,IG_STANDARD,109286347.27,109664099.3,4837091.257989,3
DESK-HY,SVRN,NON_IG,73896768.8,68196232.22,5706434.445104,3
DESK-HY,SVRN,UNRATED,225605292.29,241700652.32,16351563.918662,6
DESK-IG,ABS,IG_PRIME,14231652.28,14644202.47,376239.708791,2
DESK-IG,ABS,IG_STANDARD,204527754.23,232738553.98,21116245.436597,8
DESK-IG,ABS,NON_IG,122121383.28,101366176.75,3546902.20643,3
DESK-IG,CORP,IG_PRIME,135815504.07,142696051.52,10835215.536406,4
DESK-IG,CORP,IG_STANDARD,135883784.9,129142799.07,10049264.209648,5
DESK-IG,CORP,NON_IG,57710407.28,54211064.1,4948942.193862,2
DESK-IG,CORP,UNRATED,144153476.61,149893780.01,13514228.709292,4
DESK-IG,CVRDBND,IG_PRIME,93724265.16,94368396.97,3620632.286788,3
DESK-IG,CVRDBND,IG_STANDARD,382201414.52,375423077.94,16846847.49778,14
DESK-IG,CVRDBND,NON_IG,45356511.05,50025549.82,5681471.841915,2
DESK-IG,CVRDBND,UNRATED,44282147.82,46340230.16,1643966.005259,1
DESK-IG,SVRN,IG_PRIME,318753443.76,341313740.21,15952126.254052,9
DESK-IG,SVRN,IG_STANDARD,283701780.61,283902780.83,21910017.123006,12
DESK-IG,SVRN,NON_IG,88483810.42,87945579.89,5939907.207712,4
DESK-IG,SVRN,UNRATED,112002819.31,115790577.09,6505013.996944,4
