trade_id,pos_dt,book_cd,desk_cd,instmt_id,qty_nom,dirty_px,mkt_val_lcy,ccy_cd,isin,issuer_id,asset_cls_cd,maturity_dt,cpn_rt,ext_rating_cd,duration,cpty_nm,country_cd,sector_cd,int_rating_cd,watchlist_flg,dv01,mkt_val_eur,rating_band
TRD-00016,20241231,CRDT-EUR-02,DESK-IG,INST-0022,48278332.39,92.574352,44693353.37,EUR,XS6344160868,ISS-0017,SVRN,20300528,4.0055,SUB_IG,8.3767,Counterparty ISS-0017,SE,SOVGN,4,N,3743828.131447,44693353.37,NON_IG
TRD-00017,20241231,CRDT-EUR-02,DESK-IG,INST-0008,20095301.37,87.222465,17527617.2,EUR,XS1965067727,ISS-0016,CVRDBND,20250628,5.2065,AAA,3.8367,Counterparty ISS-0016,CH,SOVGN,10,N,672482.089269,17527617.2,IG_PRIME
TRD-00018,20241231,CRDT-EUR-01,DESK-IG,INST-0010,40575989.61,113.473769,46043104.72,EUR,XS3030106617,ISS-0032,SVRN,20380828,2.0233,A,1.9055,Counterparty ISS-0032,CH,SUPRA,8,N,877351.36043,46043104.72,IG_STANDARD
TRD-00019,20241231,CRDT-EUR-01,DESK-IG,INST-0016,27947844.43,97.485221,27245017.91,EUR,XS3090237817,ISS-0028,CVRDBND,20340428,2.2416,A,1.348,Counterparty ISS-0028,US,FINAN,1,N,367262.841391,27245017.91,IG_STANDARD
TRD-00020,20241231,CRDT-USD-01,DESK-HY,INST-0050,22580671.8,0.0,0.0,GBP,XS4110335359,ISS-0026,ABS,20290828,8.3458,NR,8.2448,Counterparty ISS-0026,IT,SUPRA,9,N,0.0,0.0,UNRATED
TRD-00021,20241231,CRDT-EUR-02,DESK-IG,INST-0020,15338474.19,103.63082,15895386.58,GBP,XS2349409434,ISS-0014,ABS,20370528,1.547,A,9.8598,Counterparty ISS-0014,DE,SOVGN,8,N,1567253.325875,18597602.3,IG_STANDARD
TRD-00022,20241231,CRDT-EUR-01,DESK-IG,INST-0049,31313200.02,92.939384,29102295.21,EUR,XS6242173772,ISS-0035,CVRDBND,20330428,3.9867,BBB,0.9209,Counterparty ISS-0035,CA,SOVGN,10,N,268003.036582,29102295.21,IG_STANDARD
TRD-00023,20241231,CRDT-EUR-01,DESK-IG,INST-0011,8773296.06,87.251946,7654871.54,EUR,XS7060638140,ISS-0028,CVRDBND,20261228,5.8869,A,14.7704,Counterparty ISS-0028,US,FINAN,1,N,1130655.146046,7654871.54,IG_STANDARD
TRD-00024,20241231,CRDT-EUR-01,DESK-IG,INST-0027,34499619.68,99.097374,34188217.14,GBP,XS1480494664,ISS-0001,CVRDBND,20291228,4.8647,SUB_IG,12.6016,Counterparty ISS-0001,DE,FINAN,5,Y,4308262.371476,40000214.05,NON_IG
TRD-00025,20241231,CRDT-EUR-01,DESK-IG,INST-0015,35377095.91,106.089627,37531429.09,USD,XS6002078344,ISS-0004,SVRN,20370128,2.6216,BBB,11.869,Counterparty ISS-0004,SE,FINAN,7,N,4454605.319209,34528914.76,IG_STANDARD
TRD-00026,20241231,CRDT-EUR-02,DESK-IG,INST-0005,46203161.12,108.634841,50192730.62,EUR,XS1248786714,ISS-0016,ABS,20230630,7.5241,A,14.2308,Counterparty ISS-0016,CH,SOVGN,10,N,7142827.109026,50192730.62,IG_STANDARD
TRD-00027,20241231,CRDT-USD-01,DESK-HY,INST-0028,27273662.7,104.429042,28481624.68,USD,XS5474620894,ISS-0009,SVRN,20260628,7.6914,BBB,3.5461,Counterparty ISS-0009,DE,SOVGN,3,N,1009986.892633,26203094.71,IG_STANDARD
TRD-00028,20241231,CRDT-GBP-01,DESK-EM,INST-0010,3075938.17,108.778857,3345970.38,USD,XS3030106617,ISS-0032,SVRN,20380828,2.0233,A,1.9055,Counterparty ISS-0032,CH,SUPRA,8,N,63757.465655,3078292.75,IG_STANDARD
TRD-00029,20241231,CRDT-GBP-01,DESK-EM,INST-0029,23488028.72,94.122736,22107575.26,USD,XS9051829827,ISS-0007,SVRN,20291028,7.9061,NR,3.9327,Counterparty ISS-0007,AU,FINAN,4,N,869424.612397,20338969.24,UNRATED
TRD-00030,20241231,CRDT-EUR-02,DESK-IG,INST-0018,21944167.29,102.9411,22589567.19,GBP,XS1798112150,ISS-0033,SVRN,20271028,5.9017,AAA,3.9105,Counterparty ISS-0033,IT,CORP,3,N,883365.025128,26429793.61,IG_PRIME
TRD-00031,20241231,CRDT-EUR-02,DESK-IG,INST-0048,30225310.68,85.775947,25926046.47,USD,XS7767538527,ISS-0038,CVRDBND,20250828,8.0419,BBB,4.8299,Counterparty ISS-0038,FR,SUPRA,1,N,1252202.118429,23851962.75,IG_STANDARD
TRD-00032,20241231,CRDT-USD-01,DESK-HY,INST-0044,49978663.6,105.168448,52561784.84,USD,XS8995059760,ISS-0033,CVRDBND,20330828,6.5142,SUB_IG,12.678,Counterparty ISS-0033,IT,CORP,3,N,6663783.081922,48356842.05,NON_IG
TRD-00033,20241231,CRDT-GBP-01,DESK-EM,INST-0037,38179139.31,90.255722,34458857.84,USD,XS7049001493,ISS-0008,ABS,20340728,4.9353,NR,3.2817,Counterparty ISS-0008,US,SUPRA,8,N,1130836.337657,31702149.21,UNRATED
TRD-00034,20241231,CRDT-EUR-02,DESK-IG,INST-0018,49847579.2,98.07655,48888785.94,EUR,XS1798112150,ISS-0033,SVRN,20271028,5.9017,AAA,3.9105,Counterparty ISS-0033,IT,CORP,3,N,1911795.974101,48888785.94,IG_PRIME
TRD-00035,20241231,CRDT-EUR-02,DESK-IG,INST-0006,17463256.71,94.999252,16589963.25,,XS4504793184,ISS-0032,CORP,20290928,1.5271,NR,7.3916,Counterparty ISS-0032,CH,SUPRA,8,N,1226263.723538,16589963.25,UNRATED
TRD-00036,20241231,CRDT-EUR-01,DESK-IG,INST-0011,20641089.98,99.864071,20613032.75,,XS7060638140,ISS-0028,CVRDBND,20261228,5.8869,A,14.7704,Counterparty ISS-0028,US,FINAN,1,N,3044627.38972,20613032.75,IG_STANDARD
TRD-00037,20241231,CRDT-EUR-02,DESK-IG,INST-0049,22795812.84,94.435515,21527343.25,EUR,XS6242173772,ISS-0035,CVRDBND,20330428,3.9867,BBB,0.9209,Counterparty ISS-0035,CA,SOVGN,10,N,198245.304025,21527343.25,IG_STANDARD
TRD-00038,20241231,CRDT-GBP-01,DESK-EM,INST-0008,43259038.14,109.747816,47475849.58,EUR,XS1965067727,ISS-0016,CVRDBND,20250628,5.2065,AAA,3.8367,Counterparty ISS-0016,CH,SOVGN,10,N,1821505.920884,47475849.58,IG_PRIME
TRD-00039,20241231,CRDT-EUR-01,DESK-IG,INST-0043,20721053.78,90.627476,18778968.04,GBP,XS8737025391,ISS-0009,CORP,20411128,8.4031,BBB,9.1341,Counterparty ISS-0009,DE,SOVGN,3,N,1715289.719871,21971392.61,IG_STANDARD
TRD-00040,20241231,CRDT-GBP-01,DESK-EM,INST-0040,31307896.23,107.799716,33749823.22,EUR,XS1855256552,ISS-0020,SVRN,20260128,2.4587,NR,7.3895,Counterparty ISS-0020,NL,FINAN,5,N,2493943.186954,33749823.22,UNRATED
TRD-00041,20241231,CRDT-USD-01,DESK-HY,INST-0018,46390870.77,98.143483,45529616.37,USD,XS1798112150,ISS-0033,SVRN,20271028,5.9017,AAA,3.9105,Counterparty ISS-0033,IT,CORP,3,N,1780435.648059,41887247.06,IG_PRIME
TRD-00042,20241231,CRDT-EUR-02,DESK-IG,INST-0008,48660026.11,103.26615,50249335.55,EUR,XS1965067727,ISS-0016,CVRDBND,20250628,5.2065,AAA,3.8367,Counterparty ISS-0016,CH,SOVGN,10,N,1927916.257154,50249335.55,IG_PRIME
TRD-00043,20241231,CRDT-USD-01,DESK-HY,INST-0046,15606431.91,85.410234,13329490.01,USD,XS1346078411,ISS-0021,ABS,20320328,3.5643,A,2.7157,Counterparty ISS-0021,CH,SUPRA,6,N,361988.960293,12263130.81,IG_STANDARD
TRD-00044,20241231,CRDT-EUR-02,DESK-IG,INST-0006,49613631.26,112.387896,55759716.3,EUR,XS4504793184,ISS-0032,CORP,20290928,1.5271,NR,7.3916,Counterparty ISS-0032,CH,SUPRA,8,N,4121535.190202,55759716.3,UNRATED
TRD-00045,20241231,CRDT-EUR-02,DESK-IG,INST-0008,24968937.68,106.4981,26591444.22,EUR,XS1965067727,ISS-0016,CVRDBND,20250628,5.2065,AAA,3.8367,Counterparty ISS-0016,CH,SOVGN,10,N,1020233.940365,26591444.22,IG_PRIME
TRD-00046,20241231,CRDT-GBP-01,DESK-EM,INST-0027,49014207.17,92.311927,45245959.14,EUR,XS1480494664,ISS-0001,CVRDBND,20291228,4.8647,SUB_IG,12.6016,Counterparty ISS-0001,DE,FINAN,5,Y,5701714.787289,45245959.14,NON_IG
TRD-00047,20241231,CRDT-USD-01,DESK-HY,INST-0025,46101220.68,100.247227,46215195.34,USD,XS7393195616,ISS-0022,SVRN,20270128,5.5743,NR,12.5255,Counterparty ISS-0022,ES,CORP,6,N,5788684.292919,42517979.71,UNRATED
TRD-00048,20241231,CRDT-USD-01,DESK-HY,INST-0005,38656489.12,110.632371,42766590.46,EUR,XS1248786714,ISS-0016,ABS,20230630,7.5241,A,14.2308,Counterparty ISS-0016,CH,SOVGN,10,N,6086027.955013,42766590.46,IG_STANDARD
TRD-00049,20241231,CRDT-GBP-01,DESK-EM,INST-0033,41045418.71,93.485169,38371379.05,EUR,XS7482848011,ISS-0018,ABS,20421128,3.1492,AAA,0.9002,Counterparty ISS-0018,DE,FINAN,4,N,345419.154188,38371379.05,IG_PRIME
TRD-00050,20241231,CRDT-GBP-01,DESK-EM,INST-0038,49945226.43,99.68921,49790001.66,GBP,XS6587537178,ISS-0012,CVRDBND,20250928,2.931,NR,3.5476,Counterparty ISS-0012,FR,FINAN,7,N,1766350.098918,58254301.94,UNRATED
TRD-00051,20241231,CRDT-USD-01,DESK-HY,INST-0029,17321684.69,101.557523,17591473.91,GBP,XS9051829827,ISS-0007,SVRN,20291028,7.9061,NR,3.9327,Counterparty ISS-0007,AU,FINAN,4,N,691819.894578,20582024.47,UNRATED
TRD-00052,20241231,CRDT-EUR-02,DESK-IG,INST-0030,43493123.99,114.423239,49766241.21,USD,XS1106456634,ISS-0027,SVRN,20351228,6.7591,AA,6.4698,Counterparty ISS-0027,CH,CORP,6,N,3219776.273911,45784941.91,IG_PRIME
